TABLE 14: AVERAGE YEARS OF APPRENTICESHIP,,,,,,,,,,,,,
Sector,Total_No_Of_Enterprises(2020),Total_No_Of_Enterprises(2017),,,,,,,,,,,
1 Year,142398,4704,,,,,,,,,,,
2 Years,104958,5450,,,,,,,,,,,
3 Years,79321,3593,,,,,,,,,,,
4 Years,31545,1237,,,,,,,,,,,
Wholesale/ Retail Trade,31594,958,,,,,,,,,,,
6 Above,850429,3779,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
